"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年06月21日"

"NA","欠測値"

"","","","","/項目 コード","A1101","","A1301","","A1302","","A1303","","E1101","","E2101","","E3101","","E4101","","I5101","","#A05101","","#A05302","","#A05303","","#F01201","","#F01202","","#F01203",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_15歳未満人口【人】","注釈","A1302_15～64歳人口【人】","注釈","A1303_65歳以上人口【人】","注釈","E1101_幼稚園数【園】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","E4101_高等学校数【校】","注釈","I5101_病院数【施設】","注釈","#A05101_人口増減率【％】","注釈","#A05302_転入率（日本人移動者）【％】","注釈","#A05303_転出率（日本人移動者）【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#F01202_第2次産業就業者比率【％】","注釈","#F01203_第3次産業就業者比率【％】","注釈"
"2015100000","2015年度","01101","北海道 札幌市 中央区","","237,627","","23,997","","160,339","","50,536","","15","","18","","11","","8","","37","","7.92","","9.02","","7.63","","0.26","","8.34","","78.45",""
"2015100000","2015年度","01102","北海道 札幌市 北区","","285,321","","32,916","","178,950","","68,960","","17","","31","","16","","9","","24","","2.35","","5.65","","5.19","","0.54","","15.91","","74.77",""
"2015100000","2015年度","01103","北海道 札幌市 東区","","261,912","","30,716","","168,302","","61,448","","13","","27","","15","","7","","25","","2.36","","6.10","","5.53","","0.47","","15.90","","74.51",""
"2015100000","2015年度","01104","北海道 札幌市 白石区","","209,584","","23,590","","136,879","","47,879","","9","","20","","8","","3","","21","","2.61","","6.67","","6.45","","0.33","","15.99","","72.35",""
"2015100000","2015年度","01105","北海道 札幌市 豊平区","","218,652","","23,865","","142,751","","51,458","","15","","22","","11","","6","","15","","3.08","","7.37","","6.98","","0.34","","11.03","","77.68",""
"2015100000","2015年度","01106","北海道 札幌市 南区","","141,190","","14,271","","81,598","","44,854","","18","","22","","11","","6","","18","","-3.52","","5.38","","5.51","","0.82","","11.36","","80.65",""
"2015100000","2015年度","01107","北海道 札幌市 西区","","213,578","","24,842","","133,411","","54,865","","13","","20","","10","","3","","23","","1.11","","5.58","","5.34","","0.36","","14.60","","77.69",""
"2015100000","2015年度","01108","北海道 札幌市 厚別区","","127,767","","13,990","","77,888","","35,713","","10","","15","","9","","4","","16","","-0.56","","5.15","","5.08","","0.48","","13.75","","79.95",""
"2015100000","2015年度","01109","北海道 札幌市 手稲区","","140,999","","17,367","","84,637","","38,561","","9","","16","","9","","3","","14","","0.97","","4.47","","4.25","","0.43","","18.97","","75.87",""
"2015100000","2015年度","01110","北海道 札幌市 清田区","","115,726","","15,459","","70,761","","29,260","","8","","15","","8","","4","","11","","-0.77","","4.26","","4.21","","0.68","","15.57","","76.63",""
"2015100000","2015年度","01202","北海道 函館市","","265,979","","27,131","","152,154","","85,931","","23","","48","","32","","15","","29","","-4.71","","3.38","","3.72","","3.53","","16.64","","73.84",""
"2015100000","2015年度","01203","北海道 小樽市","","121,924","","11,171","","65,317","","45,240","","14","","24","","15","","8","","16","","-7.58","","2.66","","3.38","","1.38","","17.36","","76.99",""
"2015100000","2015年度","01204","北海道 旭川市","","339,605","","37,173","","191,423","","106,444","","30","","56","","28","","14","","39","","-2.16","","3.17","","3.28","","2.67","","17.08","","76.22",""
"2015100000","2015年度","01205","北海道 室蘭市","","88,564","","9,185","","49,005","","30,118","","11","","16","","8","","6","","7","","-6.32","","3.72","","4.33","","0.94","","25.17","","70.18",""
"2015100000","2015年度","01206","北海道 釧路市","","174,742","","19,400","","101,909","","52,867","","29","","29","","17","","8","","17","","-3.55","","3.50","","4.01","","2.24","","18.28","","73.19",""
"2015100000","2015年度","01207","北海道 帯広市","","169,327","","20,566","","103,890","","44,636","","13","","26","","14","","8","","18","","0.76","","4.43","","4.42","","4.91","","17.87","","70.30",""
"2015100000","2015年度","01208","北海道 北見市","","121,226","","13,570","","70,781","","36,437","","11","","26","","15","","8","","14","","-3.55","","3.35","","3.82","","6.97","","17.21","","68.49",""
"2015100000","2015年度","01209","北海道 夕張市","","8,843","","500","","4,045","","4,296","","1","","1","","1","","1","","0","","-19.03","","2.58","","4.89","","15.64","","21.90","","62.21",""
"2015100000","2015年度","01210","北海道 岩見沢市","","84,499","","8,983","","47,848","","27,503","","6","","15","","10","","4","","8","","-6.26","","3.14","","3.94","","8.74","","17.73","","69.98",""
"2015100000","2015年度","01211","北海道 網走市","","39,077","","4,571","","23,698","","10,691","","5","","9","","6","","2","","5","","-4.69","","4.54","","5.28","","12.42","","16.01","","67.78",""
"2015100000","2015年度","01212","北海道 留萌市","","22,221","","2,290","","12,391","","7,513","","2","","5","","3","","2","","3","","-9.14","","4.98","","6.16","","3.31","","20.35","","75.95",""
