"統計名：","市区町村データ 基礎データ（オリジナル）"
"表番号：","0000020102"
"表題：","Ｂ　自然環境"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/Ｂ　自然環境 コード","B1101","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103"
"調査年 コード","調査年","地域 コード","地域","/Ｂ　自然環境","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】"
"2014100000","2014年度","01100","北海道 札幌市","","112,126","112,126","44,036","0","68,228","67,690","538","333,758,282","137,395,497"
"2014100000","2014年度","01202","北海道 函館市","","67,783","67,783","12,838","0","55,453","52,925","2,528","212,257,638","31,328,638"
"2014100000","2014年度","01203","北海道 小樽市","","24,383","24,383","8,029","0","16,374","15,824","550","87,770,522","16,840,634"
"2014100000","2014年度","01204","北海道 旭川市","","74,766","74,766","35,022","0","39,572","39,419","153","330,636,443","52,587,973"
"2014100000","2014年度","01205","北海道 室蘭市","","8,088","8,088","4,327","0","3,761","2,508","1,253","43,866,647","18,703,042"
"2014100000","2014年度","01206","北海道 釧路市","","136,292","136,292","29,318","1,611","103,769","97,770","5,999","462,848,930","30,417,157"
"2014100000","2014年度","01207","北海道 帯広市","","61,934","61,934","38,220","0","23,653","23,173","480","283,384,316","30,647,518"
"2014100000","2014年度","01208","北海道 北見市","","142,741","142,741","42,064","5,248","94,975","93,198","1,777","592,024,590","29,988,462"
"2014100000","2014年度","01209","北海道 夕張市","","76,307","76,307","10,806","0","65,142","65,127","15","24,926,418","2,267,753"
"2014100000","2014年度","01210","北海道 岩見沢市","","48,102","48,102","31,922","0","16,271","16,206","65","305,941,680","20,335,936"
"2014100000","2014年度","01211","北海道 網走市","","47,100","47,100","22,387","8,288","17,218","15,979","1,239","265,147,707","9,951,139"
"2014100000","2014年度","01212","北海道 留萌市","","29,783","29,783","5,184","0","24,582","24,187","395","76,430,620","3,632,168"
"2014100000","2014年度","01213","北海道 苫小牧市","","56,157","56,157","19,704","210","35,765","32,347","3,418","231,525,911","46,428,402"
"2014100000","2014年度","01214","北海道 稚内市","","76,149","76,149","30,994","467","43,748","42,295","1,453","371,526,992","6,783,256"
"2014100000","2014年度","01215","北海道 美唄市","","27,769","27,769","15,444","0","11,993","11,975","18","158,334,545","8,486,925"
"2014100000","2014年度","01216","北海道 芦別市","","86,504","86,504","13,729","0","72,800","72,178","622","98,658,691","5,405,658"
"2014100000","2014年度","01217","北海道 江別市","","18,738","18,738","16,806","0","1,975","1,950","25","105,504,667","18,741,968"
"2014100000","2014年度","01218","北海道 赤平市","","12,988","12,988","3,670","0","9,319","9,316","3","42,063,815","2,887,639"
"2014100000","2014年度","01219","北海道 紋別市","","83,078","83,078","17,326","484","65,132","65,047","85","435,281,416","7,442,574"
"2014100000","2014年度","01220","北海道 士別市","","111,922","111,922","29,593","0","83,944","81,310","2,634","312,822,065","8,421,641"
"2014100000","2014年度","01221","北海道 名寄市","","53,520","53,520","19,964","0","33,668","33,470","198","245,565,902","8,121,436"
"2014100000","2014年度","01222","北海道 三笠市","","30,252","30,252","5,538","0","24,574","24,573","1","30,658,998","3,362,198"
"2014100000","2014年度","01223","北海道 根室市","","41,141","50,625","20,981","572","19,784","17,204","2,580","246,384,456","6,121,295"
"2014100000","2014年度","01224","北海道 千歳市","","59,450","59,450","19,510","7,848","31,979","30,435","1,544","142,521,989","16,399,850"
"2014100000","2014年度","01225","北海道 滝川市","","11,590","11,590","10,206","0","1,384","1,270","114","69,213,626","9,108,278"
"2014100000","2014年度","01226","北海道 砂川市","","7,868","7,868","4,937","0","2,984","2,885","99","50,654,407","4,788,442"
"2014100000","2014年度","01227","北海道 歌志内市","","5,595","5,595","1,403","0","4,197","4,194","3","28,186,092","500,212"
"2014100000","2014年度","01228","北海道 深川市","","52,942","52,942","21,511","0","31,490","31,325","165","275,466,528","7,637,736"
"2014100000","2014年度","01229","北海道 富良野市","","60,071","60,071","19,847","0","40,331","40,301","30","178,179,165","7,574,386"
"2014100000","2014年度","01230","北海道 登別市","","21,221","21,221","3,562","0","17,477","15,097","2,380","72,461,419","7,734,112"
"2014100000","2014年度","01231","北海道 恵庭市","","29,465","29,465","9,753","0","19,729","17,909","1,820","66,989,503","13,024,684"
"2014100000","2014年度","01233","北海道 伊達市","","44,421","44,421","12,250","0","31,329","29,682","1,647","193,730,325","9,862,382"
"2014100000","2014年度","01234","北海道 北広島市","","11,905","11,905","7,348","0","4,505","4,324","181","79,175,418","11,185,740"
"2014100000","2014年度","01235","北海道 石狩市","","72,242","72,242","21,784","0","50,709","49,430","1,279","202,727,954","16,845,914"
"2014100000","2014年度","01236","北海道 北斗市","","39,744","39,744","9,518","0","29,909","29,252","657","125,071,905","9,096,683"
"2014100000","2014年度","01303","北海道 当別町","","42,286","42,286","15,896","0","26,354","26,285","69","142,445,787","5,869,781"
"2014100000","2014年度","01304","北海道 新篠津村","","7,804","7,804","7,597","0","215","200","15","53,938,413","1,560,291"
"2014100000","2014年度","01331","北海道 松前町","","29,325","29,325","3,697","0","26,962","23,884","3,078","50,162,335","1,367,788"
